layer,x_center_um,temperature_C,total_pore_water_kgm3,ice_kgm3,ice_volume_fraction
aGDL,3.1249999999999996,-12.71875914822192,0.0,0.0,0.0
aGDL,9.375,-12.7129309213895,0.0,0.0,0.0
aGDL,15.625,-12.707341576889007,0.0,0.0,0.0
aGDL,21.874999999999996,-12.701990546473837,0.0,0.0,0.0
aGDL,28.125,-12.696877285198411,0.0,0.0,0.0
aGDL,34.375,-12.692001271425056,0.0,0.0,0.0
aGDL,40.62500000000001,-12.68736200683503,0.0,0.0,0.0
aGDL,46.87500000000001,-12.682959016444215,0.0,0.0,0.0
aGDL,53.12500000000001,-12.678791848622438,0.0,0.0,0.0
aGDL,59.375000000000014,-12.67486007511718,0.0,0.0,0.0
aGDL,65.62500000000003,-12.671163291080916,0.0,0.0,0.0
aGDL,71.87500000000003,-12.66770111510175,0.0,0.0,0.0
aGDL,78.12500000000003,-12.664473189237924,0.0,0.0,0.0
aGDL,84.37500000000003,-12.66147917905488,0.0,0.0,0.0
aGDL,90.62500000000003,-12.658718773665157,0.0,0.0,0.0
aGDL,96.87500000000004,-12.656191685770352,0.0,0.0,0.0
aGDL,103.12500000000004,-12.653897651704881,0.0,0.0,0.0
aGDL,109.37500000000004,-12.651836431480888,0.0,0.0,0.0
aGDL,115.62500000000004,-12.650007808833095,0.0,0.0,0.0
aGDL,121.87500000000003,-12.648411591263539,0.0,0.0,0.0
aGDL,128.125,-12.647047610084542,0.0,0.0,0.0
aGDL,134.375,-12.645915720459243,0.0,0.0,0.0
aGDL,140.625,-12.645015801438205,0.0,0.0,0.0
aGDL,146.87499999999997,-12.644347755991134,0.0,0.0,0.0
aCL,150.1888888888889,-12.644114984300302,0.0,0.0,0.0
aCL,150.56666666666666,-12.644086605363952,0.0,0.0,0.0
aCL,150.94444444444446,-12.644059145904748,0.0,0.0,0.0
aCL,151.32222222222225,-12.644032605910013,0.0,0.0,0.0
aCL,151.70000000000002,-12.644006985367412,0.0,0.0,0.0
aCL,152.0777777777778,-12.643982284265064,0.0,0.0,0.0
aCL,152.4555555555556,-12.643958502591431,0.0,0.0,0.0
aCL,152.83333333333337,-12.643935640335485,0.0,0.0,0.0
aCL,153.21111111111117,-12.643913697486482,0.0,0.0,0.0
PEM,153.90000000000003,-12.64387188245803,0.0,0.0,0.0
PEM,154.90000000000003,-12.643813935923504,0.0,0.0,0.0
PEM,155.90000000000003,-12.643760649227545,0.0,0.0,0.0
PEM,156.9,-12.643712022165175,0.0,0.0,0.0
PEM,157.9,-12.64366805455785,0.0,0.0,0.0
PEM,158.9,-12.643628746253398,0.0,0.0,0.0
PEM,159.9,-12.643594097126083,0.0,0.0,0.0
PEM,160.9,-12.643564107076543,0.0,0.0,0.0
PEM,161.9,-12.643538776031733,0.0,0.0,0.0
PEM,162.9,-12.643518103945155,0.0,0.0,0.0
PEM,163.9,-12.64350209079663,0.0,0.0,0.0
PEM,164.9,-12.643490736592469,0.0,0.0,0.0
cCL,165.77666666666667,-12.643485300923658,13.170251638075591,6.447900490685003,0.007008587489875003
