time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
0.0,0.006,0.799,0.8001118410003218,-19.99535477911209,-19.995354779112176,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.006,0.799,0.8001714985266247,-19.99535477911209,-19.994037592631372,0.0,0.0,3.0018572706037006,1.11934497590299e-06,9.41625985129519e-10,8.625164683585906e-07,2.558868815592714e-07,8.158221724361555,0.0,0.08719433084678485,8.071027449296855,-5.578208472911683e-08
0.4,0.007,0.8,0.7916203535502061,-19.993905207799145,-19.992603608325766,0.0,0.0,3.0038689635086526,2.331968699797896e-06,1.079098040703387e-09,1.7967466534185463e-06,5.341429483386458e-07,17.053989331223292,0.0,0.19613070832684798,16.857858719954336,-9.705789238978468e-08
0.6,0.007,0.8,0.7916923979200658,-19.992502715071993,-19.991052664457783,0.0,0.0,3.006034994232822,3.6378711716847174e-06,1.0999162483817718e-09,2.8026513217228035e-06,8.341199337135254e-07,26.690689307696964,0.0,0.3293228371499026,26.36136662760411,-1.570570482556377e-07
0.8,0.006,0.8,0.8003699803388689,-19.99106601796501,-19.98962670877964,0.0,0.0,3.0080459137707196,4.850494895579623e-06,9.596028390012012e-10,3.7365223551223484e-06,1.1130129376182684e-06,35.58472567117653,0.0,0.4856584111792018,35.099067454574694,-1.9457736755157384e-07
1.0,0.006,0.8,0.8004293345343522,-19.98963334868654,-19.98832487562504,0.0,0.0,3.0099018258799544,5.969839871482614e-06,9.439011945445885e-10,4.598407938650917e-06,1.3704880316371443e-06,43.739851869677715,0.0,0.6636630914784973,43.07618903312945,-2.5493023514400193e-07
1.2,0.007,0.8,0.7918873280737108,-19.988242898954383,-19.986906233801903,0.0,0.0,3.011912047338757,7.18246359537752e-06,1.0817034882297625e-09,5.531954784118964e-06,1.6494271077703212e-06,52.63220711995844,0.0,0.8632139270342805,51.76899351318576,-3.2026160567966144e-07
1.4,0.007,0.8,0.7919590062639894,-19.986818077674656,-19.985370647634596,0.0,0.0,3.0140764937268876,8.488366067264342e-06,1.1025697557039875e-09,6.537123686766608e-06,1.9501398107420233e-06,62.26517250865676,0.0,1.0867847951306544,61.178388086981265,-3.734551583534085e-07
1.6,0.007,0.8,0.7920305863264119,-19.985473550325025,-19.98383910311631,0.0,0.0,3.0162405031029578,9.794268539151166e-06,1.1033194713698473e-09,7.542089641013499e-06,2.25107557866629e-06,71.89715722597529,0.0,1.3341168939976005,70.56304075828716,-4.263094695033942e-07
1.8,0.006,0.8,0.8006957934613165,-19.984094614370747,-19.982432625589013,0.0,0.0,3.0182495651412737,1.1006892263046071e-05,9.664533559837678e-10,8.475098051607514e-06,2.5308277580825646e-06,80.78683784359067,0.0,1.6054480506779332,79.18139026722467,-4.7431193195279775e-07
2.0,0.007,0.8,0.792163193321226,-19.98264301189576,-19.981029819726956,0.0,0.0,3.020258259697921,1.2219515986940977e-05,1.0844071791435676e-09,9.407935803714364e-06,2.8104957760474634e-06,89.67566686676055,0.0,1.8984829649937869,87.77718442954203,-5.277752705978855e-07
2.2,0.006,0.8,0.8008235623287598,-19.981233739111815,-19.979630791091836,0.0,0.0,3.022266577640998,1.3432139710835883e-05,9.636941006414652e-10,1.0340598656479237e-05,3.0905773602559976e-06,98.56369279866409,0.0,2.2138253763716653,96.3498680240389,-6.017464642127379e-07
2.4,0.006,0.8,0.8008823880669919,-19.97982836914474,-19.97835572358491,0.0,0.0,3.0241200886937802,1.4551484686738871e-05,9.479228496626127e-10,1.1201369189391523e-05,3.3491675744976814e-06,106.71337975202135,0.0,2.5504042396467304,104.16297615928437,-6.469097399985912e-07
2.6,0.006,0.8,0.8009411455828406,-19.978465069634865,-19.97708398305332,0.0,0.0,3.025973278972056,1.567082966264186e-05,9.484733827536782e-10,1.2061990754622754e-05,3.6078904346363505e-06,114.86237671985461,0.0,2.906699749843154,111.9556776816112,-7.115997533446716e-07
2.8,0.006,0.8,0.800999835003435,-19.977105534431615,-19.975815733458603,0.0,0.0,3.0278261641750737,1.6790174638544847e-05,9.48971412132643e-10,1.292247064290401e-05,3.866755024228712e-06,123.01065363920014,0.0,3.2836719103913885,119.72698248178705,-7.529782948267894e-07
