参数,使用值,来源,处理
活化面积,25 cm²,附件1,固定；一维方程按单位面积计算
五层厚度 aGDL/aCL/PEM/cCL/cGDL,150/3.4/12/11.3/150 μm,附件1,固定
初始孔隙率 aGDL/aCL/cCL/cGDL,0.8/0.3916/0.4207/0.8,附件1,固定
冰密度/液水密度,920/990 kg m⁻³,附件1,固定
冰融化潜热,333600 J kg⁻¹,附件1,固定
双极板密度/比热/厚度,1980 kg m⁻³ / 766 J kg⁻¹ K⁻¹ / 单侧2 mm,附件1,固定；热容缩放严格为1
GDL/CL/PEM固相密度与比热,见附件1参数原表,附件1,固定
GDL/CL/PEM固相导热系数,0.30/0.27/0.24 W m⁻¹ K⁻¹,附件1,固定
对流换热系数,40 W m⁻² K⁻¹,附件1,固定
阴极冰覆盖活性面积指数,3.5,附件1,固定
初始膜含水量,3,附件1,固定；随后由水量平衡演化
膜密度/当量质量,2150 kg m⁻³ / 1000 g mol⁻¹,附件1,固定
总接触电阻,0.01 Ω cm²,题目备注1,固定
参照气体扩散系数 H₂/O₂,1.10e−4/2.20e−5 m² s⁻¹,题目备注1,固定
参照水蒸气扩散系数 阳极/阴极,8.69e−5/2.48e−5 m² s⁻¹,题目备注1,固定
热中性电压,1.48 V,题目备注1,固定
参考交换电流密度,0.258450576 A m⁻²,备注1给0.01初始校准值,只用−20℃标定
产水膜吸收分配系数,0.770603436,附件1未规定此等效系数,只用−20℃标定
水合活性指数,1.57435615,附件1未规定,只用−20℃标定
水合相关附加界面阻抗,0.000165911372 Ω m²,附件1未规定,只用−20℃标定；不替代固定接触电阻
冻结/融化动力学速率,0.2/0.2 s⁻¹,附件1未给有量纲速率,假设值；做五倍与五分之一敏感性分析
液水等效扩散系数,GDL 2e−9、CL 2e−10 m² s⁻¹,附件1仅给渗透率，无闭合所需毛细压函数,等效假设；做敏感性分析
