layer,x_center_um,temperature_C,total_pore_water_kgm3,ice_kgm3,ice_volume_fraction
aGDL,3.1249999999999996,-12.720690194919598,0.0,0.0,0.0
aGDL,9.375,-12.71486351442519,0.0,0.0,0.0
aGDL,15.625,-12.70927565333136,0.0,0.0,0.0
aGDL,21.874999999999996,-12.703926043330114,0.0,0.0,0.0
aGDL,28.125,-12.698814139417038,0.0,0.0,0.0
aGDL,34.375,-12.693939419898186,0.0,0.0,0.0
aGDL,40.62500000000001,-12.689301386401155,0.0,0.0,0.0
aGDL,46.87500000000001,-12.68489956389061,0.0,0.0,0.0
aGDL,53.12500000000001,-12.680733500687722,0.0,0.0,0.0
aGDL,59.375000000000014,-12.676802768493872,0.0,0.0,0.0
aGDL,65.62500000000003,-12.67310696241799,0.0,0.0,0.0
aGDL,71.87500000000003,-12.669645701007312,0.0,0.0,0.0
aGDL,78.12500000000003,-12.666418626281597,0.0,0.0,0.0
aGDL,84.37500000000003,-12.663425403770646,0.0,0.0,0.0
aGDL,90.62500000000003,-12.660665722553745,0.0,0.0,0.0
aGDL,96.87500000000004,-12.65813929530185,0.0,0.0,0.0
aGDL,103.12500000000004,-12.655845858321584,0.0,0.0,0.0
aGDL,109.37500000000004,-12.653785171599736,0.0,0.0,0.0
aGDL,115.62500000000004,-12.65195701884852,0.0,0.0,0.0
aGDL,121.87500000000003,-12.65036120755002,0.0,0.0,0.0
aGDL,128.125,-12.648997568999448,0.0,0.0,0.0
aGDL,134.375,-12.647865958345449,0.0,0.0,0.0
aGDL,140.625,-12.646966254626818,0.0,0.0,0.0
aGDL,146.87499999999997,-12.64629836080428,0.0,0.0,0.0
aCL,150.1888888888889,-12.64606563602888,0.0,0.0,0.0
aCL,150.56666666666666,-12.646037262744244,0.0,0.0,0.0
aCL,150.94444444444446,-12.64600980868346,0.0,0.0,0.0
aCL,151.32222222222225,-12.645983273833792,0.0,0.0,0.0
aCL,151.70000000000002,-12.645957658182908,0.0,0.0,0.0
aCL,152.0777777777778,-12.645932961718927,0.0,0.0,0.0
aCL,152.4555555555556,-12.645909184430309,0.0,0.0,0.0
aCL,152.83333333333337,-12.64588632630597,0.0,0.0,0.0
aCL,153.21111111111117,-12.645864387335223,0.0,0.0,0.0
PEM,153.90000000000003,-12.645822579516562,0.0,0.0,0.0
PEM,154.90000000000003,-12.645764642397012,0.0,0.0,0.0
PEM,155.90000000000003,-12.645711363736325,0.0,0.0,0.0
PEM,156.9,-12.645662743329524,0.0,0.0,0.0
PEM,157.9,-12.645618780998063,0.0,0.0,0.0
PEM,158.9,-12.645579476589717,0.0,0.0,0.0
PEM,159.9,-12.64554482997869,0.0,0.0,0.0
PEM,160.9,-12.645514841065733,0.0,0.0,0.0
PEM,161.9,-12.64548950977786,0.0,0.0,0.0
PEM,162.9,-12.645468836068574,0.0,0.0,0.0
PEM,163.9,-12.645452819917637,0.0,0.0,0.0
PEM,164.9,-12.645441461331416,0.0,0.0,0.0
cCL,165.77666666666667,-12.645436021087221,13.177679434799227,6.453120867172152,0.007014261812143644
cCL,166.53,-12.64543580264376,13.09264817178937,6.407471713137552,0.006964643166453861
cCL,167.28333333333333,-12.645439545618103,12.923008071401807,6.3165986913114205,0.006865868142729805
cCL,168.03666666666666,-12.645447252630618,12.669410395608788,6.181187199861768,0.006718681738980182
cCL,168.79,-12.645458928482526,12.332555211849492,6.0019880127586775,0.006523900013868128
cCL,169.54333333333332,-12.645474580040798,11.913661851252968,5.780288501010324,0.006282922283706875
cCL,170.29666666666665,-12.645494216073303,11.414062867835312,5.517505878818548,0.005997288998715812
cCL,171.04999999999998,-12.645517847121369,10.834734685797127,5.214717130436794,0.005668170793953037
cCL,171.8033333333333,-12.645545485363755,10.177026485045463,4.873389039927005,0.0052971619999206574
cCL,172.55666666666664,-12.645577144409515,9.442437970676824,4.49515559178943,0.004886038686727641
cCL,173.30999999999997,-12.645612839080343,8.632596857876031,4.081795410548824,0.004436734141900896
cCL,174.0633333333333,-12.645652585168023,7.749253987653898,3.6352268587667096,0.0039513335421377275
cCL,174.81666666666663,-12.64569639912986,6.794457047431105,3.157681923098562,0.0034322629598897416
cCL,175.56999999999996,-12.64574429773495,5.77037606644164,2.6515314629246203,0.0028820994162224133
cCL,176.3233333333333,-12.645796297470952,4.680277142711027,2.1202596551901873,0.002304630059989334
cGDL,179.82499999999996,-12.64603658832607,1.7864670900809994,0.7524388870457247,0.0008178683554844833
cGDL,186.07499999999996,-12.64669822666906,0.8160718300797349,0.3232566452079009,0.0003513659187042401
cGDL,192.32499999999993,-12.647596662611079,0.0013559093786160593,0.0,0.0
cGDL,198.57499999999993,-12.648728620208487,0.0012928553288509906,0.0,0.0
cGDL,204.82499999999993,-12.6500925981411,0.0012298008177632487,0.0,0.0
cGDL,211.0749999999999,-12.651688741630608,0.0011667457439573292,0.0,0.0
cGDL,217.3249999999999,-12.653517219701769,0.0011036900059664594,0.0,0.0
cGDL,223.5749999999999,-12.655578225144211,0.0010406335022417363,0.0,0.0
cGDL,229.82499999999987,-12.657871974472073,0.000977576131141285,0.0,0.0
cGDL,236.07499999999987,-12.660398707883019,0.0009145177909194342,0.0,0.0
cGDL,242.32499999999985,-12.663158689217141,0.0008514583797159122,0.0,0.0
cGDL,248.5749999999999,-12.666152205916433,0.0007883977955450613,0.0,0.0
cGDL,254.82499999999993,-12.669379568985448,0.0007253359362850661,0.0,0.0
cGDL,261.07499999999993,-12.67284111295379,0.0006622726996671986,0.0,0.0
cGDL,267.32499999999993,-12.676537195840353,0.0005992079832650738,0.0,0.0
cGDL,273.575,-12.680468199120355,0.000536141684483919,0.0,0.0
cGDL,279.825,-12.684634527694698,0.000473073700549851,0.0,0.0
cGDL,286.075,-12.689036609862626,0.00041000392849916117,0.0,0.0
cGDL,292.32500000000005,-12.693674897297342,0.0003469322651676065,0.0,0.0
cGDL,298.57500000000005,-12.698549865025313,0.00028385860717970436,0.0,0.0
cGDL,304.82500000000005,-12.703662011408767,0.00022078285093802825,0.0,0.0
cGDL,311.07500000000005,-12.709011858132328,0.00015770489261250352,0.0,0.0
cGDL,317.3250000000001,-12.714599950193133,9.462462812970083e-05,0.0,0.0
cGDL,323.5750000000001,-12.720426855895425,3.154195316212438e-05,0.0,0.0
