layer,x_center_um,temperature_C,total_pore_water_kgm3,ice_kgm3,ice_volume_fraction,membrane_lambda
aGDL,3.1249999999999996,-17.725204813999056,0.0,0.0,0.0,0.0
aGDL,9.375,-17.698949319368467,0.0,0.0,0.0,0.0
aGDL,15.625,-17.673737905033505,0.0,0.0,0.0,0.0
aGDL,21.874999999999996,-17.649570565579864,0.0,0.0,0.0,0.0
aGDL,28.125,-17.626447295815524,0.0,0.0,0.0,0.0
aGDL,34.375,-17.604368090770834,0.0,0.0,0.0,0.0
aGDL,40.62500000000001,-17.583332945698487,0.0,0.0,0.0,0.0
aGDL,46.87500000000001,-17.563341856073265,0.0,0.0,0.0,0.0
aGDL,53.12500000000001,-17.544394817592377,0.0,0.0,0.0,0.0
aGDL,59.375000000000014,-17.52649182617523,0.0,0.0,0.0,0.0
aGDL,65.62500000000003,-17.50963287796347,0.0,0.0,0.0,0.0
aGDL,71.87500000000003,-17.493817969321015,0.0,0.0,0.0,0.0
aGDL,78.12500000000003,-17.479047096833966,0.0,0.0,0.0,0.0
aGDL,84.37500000000003,-17.46532025731065,0.0,0.0,0.0,0.0
aGDL,90.62500000000003,-17.452637447781655,0.0,0.0,0.0,0.0
aGDL,96.87500000000004,-17.440998665499762,0.0,0.0,0.0,0.0
aGDL,103.12500000000004,-17.43040390793996,0.0,0.0,0.0,0.0
aGDL,109.37500000000004,-17.42085317279941,0.0,0.0,0.0,0.0
aGDL,115.62500000000004,-17.412346457997472,0.0,0.0,0.0,0.0
aGDL,121.87500000000003,-17.40488376167565,0.0,0.0,0.0,0.0
aGDL,128.125,-17.398465082197617,0.0,0.0,0.0,0.0
aGDL,134.375,-17.393090418149285,0.0,0.0,0.0,0.0
aGDL,140.625,-17.388759768338645,0.0,0.0,0.0,0.0
aGDL,146.87499999999997,-17.385473131795806,0.0,0.0,0.0,0.0
aCL,150.1888888888889,-17.384276511916084,0.0,0.0,0.0,0.0
aCL,150.56666666666666,-17.38413011170283,0.0,0.0,0.0,0.0
aCL,150.94444444444446,-17.38398792701281,0.0,0.0,0.0,0.0
aCL,151.32222222222225,-17.38384995784574,0.0,0.0,0.0,0.0
aCL,151.70000000000002,-17.383716204201278,0.0,0.0,0.0,0.0
aCL,152.0777777777778,-17.383586666079168,0.0,0.0,0.0,0.0
aCL,152.4555555555556,-17.38346134347907,0.0,0.0,0.0,0.0
aCL,152.83333333333337,-17.383340236400727,0.0,0.0,0.0,0.0
aCL,153.21111111111117,-17.383223344843913,0.0,0.0,0.0,0.0
PEM,153.90000000000003,-17.3829992355231,0.0,0.0,0.0,6.426210457421519
PEM,154.90000000000003,-17.382694187004716,0.0,0.0,0.0,6.793639395035985
PEM,155.90000000000003,-17.38241963252068,0.0,0.0,0.0,7.194692248284715
PEM,156.9,-17.38217557202239,0.0,0.0,0.0,7.632345081856009
PEM,157.9,-17.38196200546605,0.0,0.0,0.0,8.10945860815399
PEM,158.9,-17.381778932812665,0.0,0.0,0.0,8.628631034255498
PEM,159.9,-17.381626354027958,0.0,0.0,0.0,9.192039620300317
PEM,160.9,-17.381504269082313,0.0,0.0,0.0,9.801301487455753
PEM,161.9,-17.381412677951033,0.0,0.0,0.0,10.45739808215912
PEM,162.9,-17.38135158061405,0.0,0.0,0.0,11.160712073067952
PEM,163.9,-17.381320977056134,0.0,0.0,0.0,11.911214654983695
PEM,164.9,-17.381320867266794,0.0,0.0,0.0,12.708819135299022
cCL,165.77666666666667,-17.381344698534946,26.277225074963972,17.253113076963533,0.01875338377930819,0.0
cCL,166.53,-17.381377160969606,26.169492505337665,17.18081404487329,0.018674797874862273,0.0
cCL,167.28333333333333,-17.38142484322347,25.95310374497686,17.03544247035837,0.018516785293867792,0.0
cCL,168.03666666666666,-17.381487807038155,25.626588000107134,16.815754255351134,0.01827799375581645,0.0
cCL,168.79,-17.38156614114743,25.18773883735287,16.51988411902232,0.017956395781545998,0.0
cCL,169.54333333333332,-17.381659963092233,24.633519614397606,16.145252131700914,0.017549187099674908,0.0
cCL,170.29666666666665,-17.38176942166143,23.960195308577834,15.688697382649385,0.017052931937662375,0.0
cCL,171.04999999999998,-17.38189470015277,23.16292927273932,15.146076227039753,0.01646312633373886,0.0
cCL,171.8033333333333,-17.382036020395958,22.2363417926217,14.5128240701662,0.015774808771919783,0.0
cCL,172.55666666666664,-17.38219364731532,21.174531642350892,13.783979743436662,0.014982586677648546,0.0
cCL,173.30999999999997,-17.38236789517626,19.969851314000866,12.952962410726247,0.014079306968180704,0.0
cCL,174.0633333333333,-17.38255913483829,18.614661278229043,12.013331614043388,0.013057969145699334,0.0
cCL,174.81666666666663,-17.382767802840903,17.099181021360472,10.956639777261636,0.011909391062240909,0.0
cCL,175.56999999999996,-17.38299440854408,15.41770944203316,9.778663432117671,0.010628981991432251,0.0
cCL,176.3233333333333,-17.383239543195884,13.561173648328975,8.471948565386038,0.009208639744984823,0.0
cGDL,179.82499999999996,-17.384384567728006,9.273661165421185,5.504307847963606,0.00598294331300392,0.0
cGDL,186.07499999999996,-17.38744893815627,7.37871463463194,4.137045354814414,0.004496788429146102,0.0
cGDL,192.32499999999993,-17.391579586705262,5.699830269792825,2.9705740804289023,0.0032288848700314154,0.0
cGDL,198.57499999999993,-17.396782961636973,4.47429397317627,2.2443019870176637,0.002439458681540939,0.0
cGDL,204.82499999999993,-17.403060703520822,3.3335416637386195,1.5916775090955895,0.001730084249016945,0.0
cGDL,211.0749999999999,-17.410418819572072,2.2714617973768534,1.0085525766588592,0.0010962528007161514,0.0
cGDL,217.3249999999999,-17.418861617823126,1.288667499914174,0.49747258552365325,0.0005407310712213623,0.0
cGDL,223.5749999999999,-17.42838968302061,0.4299810374946026,0.10518024946679906,0.00011432635811608594,0.0
cGDL,229.82499999999987,-17.438990239421713,0.0008745598271911938,0.0,0.0,0.0
cGDL,236.07499999999987,-17.450642738772217,0.0008181833790278373,0.0,0.0,0.0
cGDL,242.32499999999985,-17.463339262741584,0.0007618023087564052,0.0,0.0,0.0
cGDL,248.5749999999999,-17.477079814091297,0.0007054162080873823,0.0,0.0,0.0
cGDL,254.82499999999993,-17.49186439580498,0.0006490246685578223,0.0,0.0,0.0
cGDL,261.07499999999993,-17.50769301108855,0.0005926272815173695,0.0,0.0,0.0
cGDL,267.32499999999993,-17.524565663370055,0.0005362236381142667,0.0,0.0,0.0
cGDL,273.575,-17.542482356299814,0.0004798133292813457,0.0,0.0,0.0
cGDL,279.825,-17.5614430937504,0.0004233959457220023,0.0,0.0,0.0
cGDL,286.075,-17.58144787981658,0.00036697107789615286,0.0,0.0,0.0
cGDL,292.32500000000005,-17.602496718815445,0.00031053831600617176,0.0,0.0,0.0
cGDL,298.57500000000005,-17.62458961528631,0.0002540972499828094,0.0,0.0,0.0
