time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda_mean,plate_anode_C,plate_cathode_C,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,mass_balance_error_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
0.0,0.006600660066006601,0.799,0.792245411364485,-24.995416484688832,-24.995416484688946,0.0,0.0,2.9999999999999996,-24.995416484688832,-24.995416484688832,0.0,0.0,-2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0
0.2,0.006930693069306931,0.799,0.7896131582048932,-24.995416484688832,-24.98863049021972,0.0,0.0,3.0000012767144186,-24.994056825412088,-24.99405506568627,1.2621876790985312e-06,4.724280682853593e-09,5.929061759786525e-10,1.2568704922400488e-06,-3.4982460721602604e-19,9.324280108794584,0.0,0.08656319676390467,9.237716954871706,-4.284102672613699e-08
0.4,0.006600660066006601,0.799,0.792269749623571,-24.993965296107348,-24.987387445407194,0.0,0.0,3.000002555850535,-24.99263842498911,-24.99263633616306,2.5243753581970623e-06,4.555921460136697e-09,1.1869369881487707e-09,2.518632499748857e-06,-8.004461351553138e-20,18.648434617381497,0.0,0.19594625599336268,18.452488447122917,-8.573478282869473e-08
0.6,0.006600660066006601,0.799,0.7922737214081658,-24.992561301065223,-24.986060700848128,0.0,0.0,3.000003803319394,-24.991262455866945,-24.99126005902474,3.7557779719517266e-06,4.526930861021357e-09,1.7662615263598636e-09,3.749484779564107e-06,2.3843977465208555e-19,27.727362748958146,0.0,0.3275164944343487,27.399846337265544,-8.274174589928407e-08
0.8,0.006930693069306931,0.799,0.7896257815825966,-24.991122981626773,-24.98441508314147,0.0,0.0,3.0000051420194547,-24.98985532406465,-24.98985256818392,5.017965651050258e-06,4.754342335323672e-09,2.387953834453657e-09,5.0108233548799454e-06,5.353248226647178e-19,37.05140939027972,0.0,0.4807571444503993,36.570652365705854,-1.1987653181222413e-07
1.0,0.006600660066006601,0.8,0.7922823133133263,-24.989688730460614,-24.98319529335751,0.0,0.0,3.00000642031839,-24.98844706739689,-24.988444086111457,6.2801533301487885e-06,4.555868264920479e-09,2.981595860181499e-09,6.27261586602298e-06,7.072725109573408e-19,46.37539353838643,0.0,0.6572709747367527,45.71812268085503,-1.172053529785444e-07
1.2,0.006600660066006601,0.799,0.7922862590355046,-24.98829688239823,-24.98187888568691,0.0,0.0,3.000007667212957,-24.98708137385779,-24.987078174497555,7.511555943903453e-06,4.526851636324919e-09,3.5606536972349057e-09,7.503468438569616e-06,2.769797737521562e-19,55.454155925670605,0.0,0.8558068379664747,54.598349202078566,-1.1437443703243844e-07
1.4,0.006930693069306931,0.8,0.7896382640351033,-24.986870532738067,-24.980250574776733,0.0,0.0,3.0000089450485943,-24.98568450621741,-24.98568103135898,8.773743623001984e-06,4.724167912271456e-09,4.154080567161586e-09,8.764865374522002e-06,5.488773498207866e-19,64.77803292302765,0.0,1.0764134203379627,63.70161961437754,-1.1168785363224742e-07
1.6,0.005940594059405941,0.8,0.7979316567588417,-24.985524800530953,-24.979584894363114,0.0,0.0,3.000010218500218,-24.984356240215646,-24.98435274978121,9.974361171412782e-06,4.165479211370043e-09,4.7454715009984105e-09,9.965450220700177e-06,2.371692252312041e-19,73.61292753720736,0.0,1.318522111814059,72.29440552497127,-9.957797431070503e-08
1.8,0.007260726072607262,0.8,0.7870908918969658,-24.984144535809946,-24.977442716435945,0.0,0.0,3.0000114647918896,-24.983009603626016,-24.983005755774116,1.1205763785167447e-05,4.863468924090392e-09,5.3242493536827945e-09,1.11955760668895e-05,1.7448878713438587e-19,82.69288810114124,0.0,1.5819651956239342,81.11092300229376,-9.677646062300482e-08
