cooling_minutes,initial_min_cell_temperature_c,initial_max_cell_temperature_c,initial_temperature_spread_c,success,reason,startup_s,auxiliary_energy_j,max_temperature_spread_c,min_voltage_v,max_ice_fraction
10.0,5.774729780026547,6.143229972371017,0.3685001923444702,True,startup,0.0,0.0,0.36850019234458387,1.2356382139416866,0.0
20.0,-6.865690928294995,-6.627394303971101,0.23829662432389398,True,startup,84.575,191.45776249999994,3.6213287411193846,0.6633408249777999,0.0
30.0,-15.039823933933238,-14.88572555801955,0.1540983759136889,True,startup,174.17499999999998,191.45776249999994,3.782552364865694,0.641905894891519,0.02636933850886058
40.0,-20.32575957924498,-20.22610936587495,0.09965021337002966,True,startup,221.52499999999998,191.45776249999994,3.8631742401235556,0.6278418835897778,0.13694020282464178
50.0,-23.743995571626215,-23.679555145399696,0.06444042622651835,True,startup,245.52499999999998,191.45776249999994,3.978692053659927,0.6186453598725022,0.23056897433585588
60.0,-25.95445330014051,-25.912781853669678,0.04167144647083276,True,startup,258.02500000000003,191.45776249999994,4.080225992453109,0.612650174668168,0.2961799101034957
70.0,-27.383881631138923,-27.356934114608425,0.026947516530498206,True,startup,264.925,191.45776249999994,4.160224333099109,0.5872816440028854,0.3395201046619496
80.0,-28.30824463844901,-28.29081858995152,0.017426048497490854,True,startup,268.925,191.45776249999994,4.219086747473909,0.5663089000312359,0.3675153275345728
90.0,-28.905998964954208,-28.894730128143465,0.011268836810742755,True,startup,271.325,191.45776249999994,4.259797427224157,0.5519304880570817,0.3854207950499609
100.0,-29.292546492310763,-29.285259316271663,0.007287176039099563,True,startup,272.77500000000003,191.45776249999994,4.287031907853589,0.5421288244759783,0.396859370244
