cooling_minutes,left_plate,cell_1,cell_2,cell_3,cell_4,cell_5,right_plate
0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
1.0,22.431724835662074,22.95464560689301,23.348649318976072,23.47942173602476,23.348649318976086,22.954645606893024,22.431724835662052
2.0,20.188798805474278,20.7026153271773,21.093705401311723,21.22426762589987,21.093705401311738,20.702615327177305,20.18879880547425
3.0,18.047755321325816,18.540046089809024,18.91486594414274,19.040018142820628,18.914865944142647,18.540046089808904,18.04775532132568
4.0,15.998224362445512,16.469527589674428,16.828371351254347,16.94818978062053,16.82837135125436,16.469527589674435,15.998224362445484
5.0,14.036123670972536,14.487323329609211,14.830860612264757,14.945568206135384,14.830860612264757,14.487323329609197,14.036123670972543
6.0,12.157718519997559,12.589671813607602,12.91855517870458,13.028369808944035,12.918555178704487,12.589671813607467,12.157718519997402
7.0,10.359438634814339,10.77296652653692,11.08782104122917,11.192951418089294,11.08782104122912,10.772966526536877,10.359438634814296
8.0,8.637866186957709,9.03375463054801,9.335178709249803,9.435824644150166,9.335178709249817,9.033754630548017,8.63786618695768
9.0,6.989729143399032,7.368730567249926,7.657297098707431,7.753649880026643,7.657297098707446,7.368730567249955,6.989729143399039
10.0,5.411895043103584,5.774729780026547,6.050987215849091,6.143229972371017,6.050987215849091,5.774729780026547,5.411895043103598
11.0,3.90136504331695,4.2487226996030145,4.5131960966451885,4.601504145611379,4.513196096645203,4.248722699603036,3.9013650433169857
12.0,2.455268219938361,2.7878089860286934,3.041001004316854,3.125542184635492,3.041001004316783,2.787808986028587,2.455268219938219
13.0,1.0708561110215626,1.3892120162701005,1.6316038743616765,1.712538865603669,1.6316038743616303,1.3892120162700436,1.070856111021513
14.0,-0.25450250696870214,0.05027360694413119,0.2823259965349507,0.35980862432240457,0.2823259965349152,0.05027360694410277,-0.2545025069687341
15.0,-1.52332662008466,-1.231551037849787,-1.0093970763316094,-0.9352195479632037,-1.009397076331588,-1.231551037849755,-1.5233266200846138
16.0,-2.738027764491747,-2.4586981631803653,-2.2460204023296875,-2.1750069910404335,-2.246020402329677,-2.4586981631803617,-2.738027764491761
17.0,-3.9009146098570824,-3.6335000936349218,-3.429894316581244,-3.3619100537746966,-3.4298943165812403,-3.6335000936349395,-3.900914609857111
18.0,-5.014197347220502,-4.758189666149093,-4.563268898299107,-4.498184572600067,-4.563268898299093,-4.758189666149079,-5.014197347220502
19.0,-6.079991889699144,-5.834904473752282,-5.648298247303149,-5.5859901589776015,-5.6482982473031385,-5.834904473752289,-6.0799918896991585
20.0,-7.100323894009609,-6.865690928294992,-6.687044578120641,-6.627394303971101,-6.687044578120641,-6.865690928294995,-7.100323894009598
21.0,-8.077132610442433,-7.852508149870513,-7.681482139442515,-7.624376307732117,-7.681482139442508,-7.852508149870495,-8.077132610442412
22.0,-9.012274568616409,-8.797231690333906,-8.633500966395971,-8.578831041373324,-8.633500966395957,-8.797231690333888,-9.012274568616391
23.0,-9.907527106014243,-9.701657097991607,-9.544910472761003,-9.492572548376337,-9.544910472760986,-9.701657097991575,-9.907527106014207
24.0,-10.764591745997805,-10.567503330228167,-10.41744288995007,-10.36733749237073,-10.417442889950117,-10.56750333022823,-10.764591745997887
25.0,-11.585097431741772,-11.396416020575202,-11.252756559305581,-11.204788457855173,-11.252756559305581,-11.396416020575206,-11.58509743174178
26.0,-12.370603622208293,-12.189970606407794,-12.052439083949032,-12.006517110111563,-12.05243908394906,-12.189970606407826,-12.370603622208321
27.0,-13.122603256069855,-12.949675323236136,-12.81801034619486,-12.774047220338993,-12.81801034619485,-12.949675323236121,-13.12260325606983
28.0,-13.842525589200932,-13.676974071270429,-13.550925396251401,-13.508837561746343,-13.550925396251419,-13.676974071270443,-13.842525589200953
29.0,-14.531738911125352,-14.373249159701269,-14.25257721769296,-14.212284682099977,-14.252577217692954,-14.373249159701272,-14.531738911125359
30.0,-15.191553145603834,-15.039823933933238,-14.924299374981217,-14.88572555801955,-14.924299374981203,-15.039823933933217,-15.191553145603809
31.0,-15.823222340279035,-15.677965290739081,-15.567368548041927,-15.5304401360397,-15.567368548041923,-15.67796529073908,-15.823222340279038
32.0,-16.42794705013297,-16.28888608613839,-16.183006958737437,-16.14765376529118,-16.183006958737437,-16.28888608613839,-16.42794705013298
33.0,-17.0068766192654,-16.87374744055532,-16.772384693825195,-16.73853952640307,-16.77238469382519,-16.873747440555306,-17.006876619265384
34.0,-17.56111136534824,-17.43366094565525,-17.336621928835957,-17.304220461071154,-17.336621928835953,-17.433660945655262,-17.561111365348253
35.0,-18.09170467089671,-17.969690777043333,-17.876791057086756,-17.845771706518338,-17.87679105708675,-17.969690777043315,-18.09170467089669
36.0,-18.599664985334368,-18.482855716842966,-18.39391872787821,-18.364222538907065,-18.39391872787821,-18.48285571684296,-18.599664985334368
37.0,-19.08595774166111,-18.974131090002118,-18.888987797753067,-18.860558329590447,-18.888987797753067,-18.974131090002118,-19.085957741661122
38.0,-19.55150719136139,-19.444450618002378,-19.36293919851999,-19.335722417915754,-19.362939198519985,-19.44445061800238,-19.5515071913614
39.0,-19.997198161042924,-19.894708193496356,-19.816673725594885,-19.790617904141527,-19.816673725594875,-19.894708193496353,-19.997198161042924
40.0,-20.423877734143076,-20.32575957924498,-20.25105375005768,-20.22610936587495,-20.25105375005768,-20.32575957924498,-20.423877734143073
41.0,-20.832356860904852,-20.738424034589617,-20.666904857684237,-20.643024501297496,-20.66690485768425,-20.738424034589638,-20.832356860904866
42.0,-21.223411899673877,-21.13348587254128,-21.065017418059654,-21.042155702293066,-21.065017418059654,-21.13348587254127,-21.223411899673867
43.0,-21.597786092446526,-21.511695950447432,-21.446148086756214,-21.424261560469596,-21.44614808675621,-21.51169595044743,-21.597786092446512
44.0,-21.95619097748665,-21.873773097082633,-21.81102124344416,-21.790068308949426,-21.81102124344416,-21.873773097082626,-21.956190977486642
45.0,-22.299307741678003,-22.220405478857224,-22.160330368650527,-22.140271202650794,-22.160330368650527,-22.220405478857224,-22.299307741678003
46.0,-22.627788515190957,-22.552251907749447,-22.494739361791204,-22.47553583969238,-22.4947393617912,-22.552251907749437,-22.627788515190947
47.0,-22.942257610929097,-22.86994309345151,-22.814883802986323,-22.796499426437222,-22.814883802986316,-22.869943093451496,-22.94225761092907
48.0,-23.24331271110011,-23.174082842098336,-23.121372161045713,-23.103771988569044,-23.121372161045727,-23.17408284209836,-23.243312711100135
49.0,-23.531526003177305,-23.465249203868108,-23.414786949931347,-23.397937530513634,-23.414786949931354,-23.465249203868122,-23.531526003177316
50.0,-23.807445267400716,-23.743995571626215,-23.695685835885268,-23.679555145399696,-23.695685835885268,-23.743995571626215,-23.807445267400716
51.0,-24.071594917892998,-24.010851732708456,-23.964602697334705,-23.949160077675792,-23.964602697334715,-24.010851732708474,-24.071594917893016
52.0,-24.32447699936649,-24.266324875840528,-24.22204863958719,-24.207264740401772,-24.2220486395872,-24.26632487584054,-24.324476999366503
53.0,-24.566572141309457,-24.510900555100978,-24.468512966237363,-24.4543596891411,-24.468512966237355,-24.51090055510097,-24.56657214130945
54.0,-24.798340471477275,-24.74504361277211,-24.70446410914423,-24.69091455431765,-24.70446410914423,-24.745043612772108,-24.798340471477267
55.0,-25.020222490413772,-24.969199062821822,-24.930350518735423,-24.91737893379791,-24.93035051873543,-24.969199062821833,-25.02022249041378
56.0,-25.232639908666197,-25.183792936696733,-25.146601516331582,-25.134183247396187,-25.14660151633159,-25.18379293669674,-25.232639908666204
57.0,-25.435996448297253,-25.389233093046656,-25.35362811012372,-25.341739554939856,-25.353628110123715,-25.389233093046645,-25.435996448297242
58.0,-25.630678610197638,-25.585909992899097,-25.551823776333677,-25.540442339428502,-25.551823776333674,-25.5859099928991,-25.63067861019764
59.0,-25.81705640867404,-25.774197441773936,-25.741565207059484,-25.730669256792773,-25.74156520705948,-25.77419744177393,-25.81705640867403
60.0,-25.995484074700617,-25.95445330014051,-25.92321302621879,-25.912781853669678,-25.92321302621879,-25.954453300140507,-25.99548407470061
61.0,-26.16630072917292,-26.12702016356978,-26.097112474953168,-26.087126254560648,-26.09711247495317,-26.127020163569785,-26.166300729172924
62.0,-26.3298310274439,-26.292226013874327,-26.263594067796333,-26.25403381967864,-26.263594067796333,-26.292226013874327,-26.3298310274439
63.0,-26.486385776366447,-26.450384842473216,-26.42297422085274,-26.413821774734053,-26.422974220852744,-26.450384842473223,-26.486385776366454
64.0,-26.636262525012796,-26.60179724716395,-26.57555585317786,-26.56679381385375,-26.57555585317786,-26.60179724716395,-26.636262525012796
65.0,-26.779746130202433,-26.74675100344486,-26.721628962512433,-26.713240676788413,-26.72162896251243,-26.74675100344486,-26.77974613020243
66.0,-26.917109297898786,-26.885521611459033,-26.86147117644992,-26.853440701490264,-26.86147117644992,-26.88552161145903,-26.917109297898783
67.0,-27.048613101519692,-27.01837281961542,-26.995348280101165,-26.987660353127836,-26.99534828010116,-27.01837281961541,-27.048613101519685
68.0,-27.174507478132394,-27.145557125867942,-27.12351472124439,-27.116154730528503,-27.12351472124439,-27.145557125867946,-27.174507478132394
69.0,-27.295031703488306,-27.2673162576175,-27.24621409393307,-27.23916805102373,-27.246214093933066,-27.2673162576175,-27.295031703488306
70.0,-27.410414846790353,-27.383881631138923,-27.36367960147067,-27.356934114608425,-27.36367960147067,-27.38388163113892,-27.41041484679035
71.0,-27.520876206064408,-27.495474791413283,-27.47613449963941,-27.46967674830378,-27.476134499639407,-27.495474791413276,-27.5208762060644
72.0,-27.62662572495799,-27.60230783319715,-27.58379252102105,-27.577610231563746,-27.58379252102105,-27.60230783319715,-27.62662572495799
73.0,-27.727864391762015,-27.704583804132778,-27.68685828121996,-27.680939703537504,-27.68685828121996,-27.704583804132778,-27.727864391762015
74.0,-27.82478462140947,-27.802497090660808,-27.785527667755883,-27.779861552957286,-27.785527667755883,-27.802497090660808,-27.82478462140947
75.0,-27.917570621180374,-27.89623378747224,-27.8799882123689,-27.87456379139593,-27.8799882123689,-27.896233787472237,-27.917570621180374
76.0,-28.006398740808457,-27.985972051202392,-27.97041944744463,-27.965226410604057,-27.97041944744463,-27.985972051202396,-28.006398740808457
77.0,-28.091437807652028,-28.071882439035953,-28.056993247234043,-28.052021724602977,-28.056993247234043,-28.071882439035953,-28.091437807652028
78.0,-28.172849447568254,-28.154128232868977,-28.13987415451869,-28.135114697185728,-28.139874154518687,-28.154128232868974,-28.17284944756825
79.0,-28.250788392101292,-28.23286574964451,-28.21921969334278,-28.214663255449345,-28.21921969334278,-28.232865749644507,-28.250788392101285
80.0,-28.325402772565486,-28.30824463844901,-28.295180668403816,-28.29081858995152,-28.295180668403816,-28.30824463844901,-28.325402772565486
81.0,-28.396834401584975,-28.380408164936615,-28.367901451673234,-28.36372544206463,-28.367901451673234,-28.380408164936615,-28.396834401584975
82.0,-28.465219042623875,-28.449493483621,-28.437520256790926,-28.43352237907234,-28.437520256790926,-28.449493483621005,-28.46521904262388
83.0,-28.530686668019374,-28.515631898552286,-28.50416940175513,-28.500342057531633,-28.50416940175513,-28.515631898552286,-28.530686668019374
84.0,-28.593361706007062,-28.578949112873445,-28.56797556040597,-28.564311475399805,-28.567975560405966,-28.578949112873445,-28.593361706007062
85.0,-28.653363277211653,-28.6395654677341,-28.62906000318415,-28.625552213409208,-28.62906000318415,-28.639565467734105,-28.653363277211657
86.0,-28.710805421048242,-28.69759617101158,-28.687538827618237,-28.68418066614422,-28.687538827618237,-28.69759617101158,-28.710805421048242
87.0,-28.76579731246491,-28.753151516274215,-28.74352317897883,-28.740308263260076,-28.743523178978833,-28.753151516274215,-28.765797312464912
88.0,-28.818443469443174,-28.806337092407933,-28.797119461523913,-28.794041681268652,-28.797119461523913,-28.806337092407933,-28.818443469443174
89.0,-28.86884395164493,-28.85725398429853,-28.848429540730816,-28.845483046287924,-28.848429540730812,-28.85725398429853,-28.86884395164493
90.0,-28.917094550586437,-28.905998964954208,-28.89755093690236,-28.894730128143465,-28.897550936902356,-28.905998964954208,-28.917094550586437
91.0,-28.96328697170026,-28.95266467943293,-28.94457701051453,-28.941876526190374,-28.944577010514532,-28.952664679432935,-28.96328697170026
92.0,-29.00750900863197,-28.99733982092504,-28.989597139658798,-28.987011847209594,-28.989597139658798,-28.99733982092504,-29.007509008631967
93.0,-29.049844710100533,-29.04010929932325,-29.03269688991389,-29.03022187571435,-29.032696889913886,-29.040109299323248,-29.04984471010053
94.0,-29.090374539642312,-29.081054402603453,-29.07395817697273,-29.071588736993203,-29.07395817697273,-29.081054402603453,-29.09037453964231
95.0,-29.12917552854066,-29.120252951321245,-29.11345942233207,-29.111191053198016,-29.11345942233207,-29.12025295132124,-29.12917552854066
96.0,-29.16632142223223,-29.157779446518294,-29.15127570234098,-29.14910409277383,-29.15127570234098,-29.157779446518298,-29.166321422232233
97.0,-29.201882820467628,-29.193705211319152,-29.187478890891082,-29.18539991351419,-29.187478890891082,-29.193705211319152,-29.201882820467628
98.0,-29.23592731149422,-29.228098526488882,-29.22213779602101,-29.22014749951513,-29.22213779602101,-29.228098526488886,-29.235927311494223
99.0,-29.268519600514658,-29.261024760207793,-29.255318290693232,-29.25341289228662,-29.255318290693236,-29.261024760207796,-29.26851960051466
100.0,-29.299721632666145,-29.292546492310763,-29.287083437992823,-29.285259316271663,-29.287083437992823,-29.292546492310763,-29.299721632666145
